District,Growth,Sex_Ratio,Literacy,Population
West Sikkim,0.11,942,77.39,#N/A
North Sikkim,0.07,767,78.01,#N/A
Chennai,0.07,989,90.18,4646732
Kancheepuram,0.39,986,84.49,3998252
Vellore,0.13,1007,79.17,3936331
Thiruvallur,0.35,987,84.03,3728104
Salem,0.15,954,72.86,3482056
Viluppuram,0.17,987,71.88,3458873
Coimbatore,0.19,1000,83.98,3458045
Tirunelveli,0.13,1023,82.5,3077233
Madurai,0.18,990,83.45,3038252
Tiruchirappalli,0.13,1013,83.23,2722290
Cuddalore,0.14,987,78.04,2605914
Tiruppur,0.29,989,78.68,2479052
Tiruvannamalai,0.13,994,74.21,2464875
Thanjavur,0.09,1035,82.64,2405890
Erode,0.12,993,72.58,2251744
Dindigul,0.12,998,76.26,2159775
Virudhunagar,0.11,1007,80.15,1942288
Krishnagiri,0.2,958,71.46,1879809
Kanniyakumari,0.12,1019,91.75,1870374
Thoothukkudi,0.11,1023,86.16,1750176
Namakkal,0.16,986,74.63,1726601
Pudukkottai,0.11,1015,77.19,1618345
Nagapattinam,0.09,1025,83.59,1616450
Dharmapuri,0.16,946,68.54,1506843
Ramanathapuram,0.14,983,80.72,1353445
Sivaganga,0.16,1003,79.85,1339101
Thiruvarur,0.08,1017,82.86,1264277
Theni,0.14,991,77.26,1245899
Karur,0.14,1015,75.6,1064493
Ariyalur,0.09,1015,71.34,754894
The Nilgiris,-0.04,1042,85.2,735394
Perambalur,0.15,1003,74.32,565223
West Tripura,0.13,962,88.69,1725739
South Tripura,0.14,957,84.66,876001
North Tripura,0.17,967,87.5,693947
Dhalai,0.23,944,85.72,378230
Allahabad,0.21,901,72.32,5954391
Moradabad,0.25,906,56.77,4772006
Ghaziabad,0.42,881,78.07,4681645
Azamgarh,0.17,1019,70.93,4613913
Lucknow,0.26,917,77.29,4589838
Kanpur Nagar,0.1,862,79.65,4581268
Jaunpur,0.15,1024,71.55,4494204
Sitapur,0.24,888,61.12,4483992
